device_price,screen_price,device_brand,device_ram,device_storage,sld_sentinel_price
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,5000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
103800,50000.0,Samsung,4,128,7000.0
